1,-1,1020,437,38.8,107.4,1
1,-1,1255,449,38.9,96.8,1
1,-1,1345,432,172,372.2,1
1,-1,475,444,89.9,265.1,1
1,-1,580,458,89.4,253.5,1
1,-1,1054,478,38.1,113.2,1
1,-1,837,471,50.4,78.3,1
1,-1,1089,486,33.4,108.3,1
1,-1,374,446,42.3,100.6,1
1,-1,1099,437,43.2,110.5,1
1,-1,729,485,33.8,71.7,0.999
1,-1,548,462,36.3,93.4,0.999
1,-1,1417,422,200.4,363,0.998
1,-1,937,439,41.1,100.1,0.998
1,-1,972,452,29.6,83.1,0.997
1,-1,675,488,56.6,110.3,0.996
1,-1,740,453,24.1,65.4,0.993
1,-1,597,431,15.6,38.6,0.992
1,-1,462,457,23.8,71.7,0.848
1,-1,642,455,65.8,194.6,0.614
1,-1,991,458,23,60.4,0.512
2,-1,1430,412,168,352.5,1
2,-1,583,447,94,258.1,1
2,-1,1256,449,35.9,98,1
2,-1,1021,433,36.8,108,1
2,-1,475,443,82.1,263.5,1
2,-1,1056,481,37.8,112.1,1
2,-1,840,476,49.2,72.6,1
2,-1,1333,418,176.7,367,1
2,-1,1100,441,40.8,109.6,1
2,-1,375,449,41.8,96.9,1
2,-1,1088,485,35.3,113.1,0.999
2,-1,979,459,24,61.1,0.999
2,-1,937,440,41.5,102.9,0.999
2,-1,728,484,38.4,77.5,0.999
2,-1,547,456,33.1,96.6,0.998
2,-1,681,487,45.2,102.4,0.996
2,-1,599,425,18.2,40,0.975
2,-1,811,477,35,62.3,0.793
2,-1,974,457,34.9,90.3,0.786
3,-1,674,492,58.6,106,1
3,-1,587,444,74.7,249.1,1
3,-1,477,448,81.4,255,1
3,-1,1091,490,35.1,104.6,1
3,-1,1254,453,35.8,96,1
3,-1,1348,425,181.1,363.5,1
3,-1,838,473,47.3,77.5,1
3,-1,1056,482,37.6,112.5,1
3,-1,1021,440,38,95.3,1
3,-1,1100,441,40.2,108.2,1
3,-1,374,449,41.7,102.1,1
3,-1,981,457,26.8,66.3,0.999
3,-1,1445,416,171.8,370.8,0.998
3,-1,938,443,38.9,98.6,0.998
3,-1,730,485,35.7,74.4,0.997
3,-1,635,462,58.9,169.3,0.993
3,-1,547,460,38.1,96.4,0.989
3,-1,420,465,31.9,76.9,0.548
3,-1,975,462,37.9,107.1,0.527
4,-1,580,457,93.5,262.6,1
4,-1,1358,422,162.3,381.7,1
4,-1,1058,479,34.7,112.8,1
4,-1,1255,450,37.6,102,1
4,-1,1087,486,36.6,112.9,1
4,-1,1100,443,40.2,109.2,1
4,-1,375,450,41.8,100.2,1
4,-1,1017,436,44,107.9,1
4,-1,836,471,52.2,74.4,1
4,-1,471,443,87.6,274.2,0.999
4,-1,598,428,17.9,41.1,0.999
4,-1,673,482,59.6,120.4,0.999
4,-1,733,488,31.7,67.3,0.998
4,-1,937,440,40.1,101.8,0.998
4,-1,1439,429,165.3,354.5,0.998
4,-1,550,458,37.3,102.6,0.996
4,-1,980,457,24.2,68.7,0.996
4,-1,740,454,24.5,65.9,0.993
4,-1,648,463,58.3,180.6,0.842
4,-1,589,433,18.4,42.4,0.582
4,-1,417,462,32.9,85.2,0.452
5,-1,581,459,92.3,260.9,1
5,-1,1058,480,35.8,114.4,1
5,-1,469,463,83.5,254.6,1
5,-1,1364,407,183,402.6,1
5,-1,1259,450,36,102.1,1
5,-1,1100,442,40.9,109.5,1
5,-1,375,450,41.9,100.2,1
5,-1,1016,439,43.8,104.8,1
5,-1,835,469,52,77.1,1
5,-1,978,454,28.9,75.1,0.999
5,-1,733,487,32.4,69,0.999
5,-1,938,439,39.6,103.9,0.998
5,-1,682,490,50.8,107.3,0.998
5,-1,542,453,42.4,107.2,0.997
5,-1,596,428,19.9,44.2,0.997
5,-1,1090,486,32.7,111.8,0.997
5,-1,647,464,57.3,176.3,0.918
5,-1,419,463,31.7,81,0.514
6,-1,1059,481,35.3,115.9,1
6,-1,584,455,80.9,248.8,1
6,-1,677,489,55.6,106.5,1
6,-1,1374,413,154.4,399.2,1
6,-1,1023,434,34.3,109.1,1
6,-1,1086,485,37.9,114.5,1
6,-1,375,448,42.3,99.8,1
6,-1,838,473,49.4,71.9,1
6,-1,1258,450,35,101.6,1
6,-1,1100,442,38.7,104.2,1
6,-1,483,454,84.7,242.8,0.999
6,-1,732,487,33,70.4,0.999
6,-1,1448,416,169.5,353.7,0.999
6,-1,596,424,20.6,47,0.996
6,-1,933,436,41.8,114.4,0.994
6,-1,983,456,25.9,66.3,0.993
6,-1,635,456,69,190.9,0.992
6,-1,551,460,38.7,99.2,0.961
6,-1,446,457,75.6,245.9,0.745
6,-1,418,464,32.5,78.6,0.449
6,-1,739,471,39.4,98.1,0.408
7,-1,1388,407,159,386.1,1
7,-1,576,431,78.3,269.5,1
7,-1,679,490,51.1,108.7,1
7,-1,1258,448,36.9,104.1,1
7,-1,1088,487,34.5,107.5,1
7,-1,1015,442,41.2,96.1,1
7,-1,375,450,42.6,97.3,1
7,-1,834,470,56.1,79.6,1
7,-1,1101,445,39,101.4,1
7,-1,1054,482,41,113.6,0.999
7,-1,983,458,23,59.4,0.999
7,-1,470,454,77.9,248.9,0.999
7,-1,1465,433,173.3,333.4,0.999
7,-1,547,456,37.1,97.7,0.998
7,-1,635,451,65.9,187.2,0.998
7,-1,734,485,30.4,68.7,0.996
7,-1,935,440,36.8,100,0.996
7,-1,413,452,33.9,96.6,0.835
7,-1,931,427,52.3,143.6,0.426
8,-1,581,443,91.1,261.5,1
8,-1,1485,426,142.9,352,1
8,-1,1378,439,48.5,137.6,1
8,-1,374,450,41.7,99.1,1
8,-1,1014,441,40.6,101.6,1
8,-1,1091,486,35.3,111.5,1
8,-1,1256,451,36.1,98.1,1
8,-1,1381,420,160.9,360.2,1
8,-1,681,498,49.8,96.8,1
8,-1,838,474,51.6,72.4,1
8,-1,1103,445,38.4,101.5,1
8,-1,1056,482,35,109.7,0.999
8,-1,474,444,94.5,270.8,0.999
8,-1,731,492,36.2,64.3,0.999
8,-1,986,455,23.1,66.6,0.998
8,-1,935,435,36.9,107.9,0.998
